Step,Temp,E_pair,E_mol,TotEng,Press
0,0.45,-1.8761779,0.08808163,-1.3384713,4.265473
50,0.62817952,-2.0060836,0.08047184,-1.2979557,3.4044576
100,0.45,-2.0287433,0.10302837,-1.4760899,3.0755245
150,0.53119799,-2.111519,0.080782658,-1.499981,2.5838953
200,0.45,-2.0851187,0.09036483,-1.5451289,2.591735
250,0.49266819,-2.1228641,0.087369762,-1.5432367,2.4133189
300,0.45,-2.1091969,0.079216457,-1.5803555,2.5371048
350,0.50125012,-2.1518755,0.066409026,-1.5846341,2.2861873
400,0.45,-2.151122,0.075556727,-1.6259402,2.2287469
450,0.47717175,-2.1669242,0.059635981,-1.6305141,2.108456
500,0.45,-2.1348517,0.065431519,-1.6197951,2.1888061
550,0.47450307,-2.1549577,0.06249807,-1.618352,2.0909443
600,0.45,-2.1683756,0.06099357,-1.657757,2.1220291
650,0.4628916,-2.178836,0.05376316,-1.662567,1.9979328
700,0.45200921,-2.1860072,0.071806655,-1.662568,1.8785946
750,0.46083702,-2.1612669,0.06866301,-1.6321509,1.9431646
800,0.45,-2.1961331,0.061216224,-1.6852919,1.7709807
850,0.44248821,-2.1909931,0.069998506,-1.6788751,1.8039539
900,0.46264915,-2.2130238,0.064962329,-1.6857979,1.7153583
950,0.45569185,-2.1995018,0.067100072,-1.6770897,1.6617682
1000,0.4558539,-2.2099487,0.071117904,-1.6833567,1.7042776
1050,0.46111133,-2.1942473,0.063368087,-1.6701522,1.7690161
1100,0.46696232,-2.2028719,0.068628446,-1.6676703,1.8036643
1150,0.47252837,-2.2265436,0.065142075,-1.6892669,1.7896407
1200,0.46890908,-2.2073874,0.069209153,-1.6696599,1.7456645
1250,0.45479172,-2.1942425,0.070860919,-1.6689688,1.8046871
1300,0.46738282,-2.2049358,0.065862726,-1.6720797,1.6941068
1350,0.4578747,-2.1934064,0.070479305,-1.665434,1.9290925
1400,0.46474256,-2.1958925,0.066891071,-1.6646461,1.8654461
1450,0.46806306,-2.1938358,0.069104771,-1.657058,1.8255548
1500,0.45686122,-2.1889376,0.06773908,-1.6647181,1.9065527
1550,0.4731222,-2.2032452,0.070090117,-1.6604272,1.7587786
1600,0.46395421,-2.1903561,0.070367149,-1.6564214,1.8921225
